"","survival_50","survival_500","survival_pessimistic"
"Francolinus_pictus",1,1,1
"Francolinus_pondicerianus",1,1,1
"Francolinus_gularis",1,1,1
"Bambusicola_thoracicus",1,1,1
"Bambusicola_fytchii",1,1,1
"Gallus_sonneratii",1,1,1
"Gallus_varius",1,1,1
"Gallus_gallus",1,1,1
"Gallus_lafayettii",1,1,1
"Scleroptila_afra",1,1,1
"Scleroptila_streptophora",1,1,1
"Scleroptila_gutturalis",1,1,1
"Scleroptila_levaillantii",1,1,1
"Scleroptila_finschi",1,1,1
"Peliperdix_coqui",1,1,1
"Peliperdix_lathami",1,1,1
"Peliperdix_albogularis",1,1,1
"Peliperdix_schlegelii",1,1,1
"Galloperdix_spadicea",1,1,1
"Galloperdix_lunulata",1,1,1
"Galloperdix_bicalcarata",1,1,1
"Polyplectron_schleiermacheri",1,1,1
"Polyplectron_malacense",1,1,1
"Polyplectron_katsumatae",1,1,1
"Polyplectron_germaini",1,1,1
"Polyplectron_bicalcaratum",1,1,1
"Polyplectron_chalcurum",1,1,1
"Polyplectron_inopinatum",1,1,1
"Polyplectron_napoleonis",1,1,1
"Haematortyx_sanguiniceps",1,1,1
"Rheinardia_ocellata",1,1,1
"Argusianus_argus",1,1,1
"Ptilopachus_nahani",0,0,0
"Acryllium_vulturinum",1,1,1
"Agelastes_niger",1,1,1
"Agelastes_meleagrides",1,1,1
"Guttera_plumifera",1,1,1
"Guttera_pucherani",1,1,1
"Numida_meleagris",1,1,1
"Oreophasis_derbianus",1,1,1
"Ortalis_wagleri",1,1,1
"Ortalis_erythroptera",1,1,1
"Ortalis_poliocephala",1,1,1
"Ortalis_motmot",1,1,1
"Ortalis_cinereiceps",1,1,1
"Ortalis_garrula",1,1,1
"Ortalis_ruficauda",1,1,1
"Ortalis_squamata",1,1,1
"Ortalis_canicollis",1,1,1
"Ortalis_vetula",1,1,1
"Ortalis_superciliaris",1,1,1
"Ortalis_leucogastra",1,1,1
"Mitu_tomentosum",1,1,1
"Mitu_mitu",1,1,1
"Pauxi_unicornis",1,1,1
"Mitu_tuberosum",1,1,1
"Mitu_salvini",1,1,1
"Pauxi_pauxi",1,1,1
"Nothocrax_urumutum",1,1,1
"Crax_daubentoni",1,1,1
"Crax_fasciolata",1,1,1
"Crax_alector",1,1,1
"Crax_blumenbachii",1,1,1
"Crax_globulosa",1,1,1
"Crax_alberti",1,1,1
"Crax_rubra",1,1,1
"Penelopina_nigra",1,1,1
"Chamaepetes_goudotii",1,1,1
"Chamaepetes_unicolor",1,1,1
"Aburria_aburri",1,1,1
"Pipile_cujubi",1,1,1
"Pipile_pipile",1,1,1
"Pipile_cumanensis",1,1,1
"Pipile_jacutinga",1,1,1
"Penelope_pileata",1,1,1
"Penelope_superciliaris",1,1,1
"Penelope_jacucaca",1,1,1
"Penelope_argyrotis",1,1,1
"Penelope_barbata",1,1,1
"Penelope_obscura",1,1,1
"Penelope_dabbenei",1,1,1
"Penelope_ochrogaster",1,1,1
"Penelope_jacquacu",1,1,1
"Penelope_ortoni",1,1,1
"Penelope_montagnii",1,1,1
"Penelope_marail",1,1,1
"Penelope_purpurascens",1,1,1
"Penelope_albipennis",1,1,1
"Penelope_perspicax",1,1,1
"Eulipoa_wallacei",0.99999999996325,0.9999999776413,0.999962368
"Megapodius_bernsteinii",1,1,0.999999999999892
"Megapodius_cumingii",1,1,1
"Megapodius_tenimberensis",1,1,0.999999999999999
"Megapodius_laperouse",1,1,0.999999999999378
"Megapodius_reinwardt",1,1,0.999999999990647
"Megapodius_decollatus",1,1,0.999999999982486
"Megapodius_nicobariensis",1,1,1
"Megapodius_freycinet",1,1,1
"Megapodius_eremita",1,1,1
"Megapodius_geelvinkianus",1,1,1
"Megapodius_layardi",1,1,1
"Megapodius_pritchardii",1,1,1
"Macrocephalon_maleo",1,1,1
"Aepypodius_arfakianus",1,1,1
"Aepypodius_bruijnii",1,1,1
"Alectura_lathami",1,1,1
"Talegalla_jobiensis",1,1,1
"Talegalla_fuscirostris",1,1,1
"Talegalla_cuvieri",1,1,1
"Leipoa_ocellata",1,1,0.999999999999999
"Chauna_chavaria",0.9999999998995,0.99999998995,0.998392
"Chauna_torquata",0.99999999196,0.999999598,0.996784
"Anhima_cornuta",0.99999999928,0.999999964,0.999712
"Anseranas_semipalmata",0,0,0
"Dendrocygna_autumnalis",1,1,1
"Dendrocygna_arborea",1,1,1
"Dendrocygna_arcuata",1,1,0.999999999999996
"Dendrocygna_javanica",1,1,1
"Dendrocygna_eytoni",1,1,1
"Dendrocygna_bicolor",1,1,1
"Dendrocygna_viduata",1,1,1
"Dendrocygna_guttata",1,1,1
"Thalassornis_leuconotus",0,0,0
"Cygnus_cygnus",1,1,1
"Cygnus_columbianus",1,1,1
"Cygnus_buccinator",1,1,1
"Cygnus_olor",1,1,1
"Cygnus_atratus",1,1,1
"Cygnus_melancoryphus",1,1,1
"Anser_canagicus",1,1,1
"Anser_caerulescens",1,1,1
"Anser_rossii",1,1,1
"Anser_albifrons",1,1,1
"Anser_fabalis",1,1,1
"Anser_indicus",1,1,1
"Anser_erythropus",1,1,1
"Anser_cygnoid",1,1,1
"Anser_anser",1,1,1
"Anser_brachyrhynchus",1,1,1
"Branta_bernicla",1,1,1
"Branta_leucopsis",1,1,1
"Branta_hutchinsii",1,1,1
"Branta_sandvicensis",1,1,1
"Branta_canadensis",1,1,1
"Branta_ruficollis",1,1,1
"Cereopsis_novaehollandiae",1,1,1
"Coscoroba_coscoroba",1,1,1
"Malacorhynchus_membranaceus",1,1,1
"Mareca_penelope",1,1,1
"Mareca_americana",1,1,1
"Mareca_sibilatrix",1,1,1
"Mareca_strepera",1,1,1
"Mareca_falcata",1,1,1
"Anas_flavirostris",1,1,1
"Anas_crecca",1,1,1
"Anas_sparsa",1,1,1
"Anas_eatoni",1,1,1
"Anas_superciliosa",1,1,1
"Anas_undulata",1,1,1
