"species","survival","extinction"
"Aotus_trivirgatus",0.99995,5e-05
"Aotus_vociferans",0.99995,5e-05
"Aotus_zonalis",0.996,0.004
"Aplodontia_rufa",0.99995,5e-05
"Apodemus_agrarius",0.99995,5e-05
"Apodemus_alpicola",0.99995,5e-05
"Apodemus_argenteus",0.99995,5e-05
"Apodemus_avicennicus",0.996,0.004
"Apodemus_chevrieri",0.99995,5e-05
"Apodemus_draco",0.99995,5e-05
"Apodemus_epimelas",0.99995,5e-05
"Apodemus_flavicollis",0.99995,5e-05
"Apodemus_gurkha",0.99995,5e-05
"Apodemus_hyrcanicus",0.996,0.004
"Apodemus_ilex",0.996,0.004
"Apodemus_latronum",0.99995,5e-05
"Apodemus_microps",0.996,0.004
"Apodemus_mystacinus",0.99995,5e-05
"Apodemus_pallipes",0.99995,5e-05
"Apodemus_peninsulae",0.99995,5e-05
"Apodemus_ponticus",0.99995,5e-05
"Apodemus_rusiges",0.99995,5e-05
"Apodemus_speciosus",0.99995,5e-05
"Apodemus_sylvaticus",0.99995,5e-05
"Apodemus_uralensis",0.99995,5e-05
"Apodemus_witherbyi",0.99995,5e-05
"Apomys_abrae",0.99995,5e-05
"Apomys_aurorae",0.99995,5e-05
"Apomys_banahao",0.99995,5e-05
"Apomys_brownorum",0.996,0.004
"Apomys_camiguinensis",0.95,0.05
"Apomys_datae",0.99995,5e-05
"Apomys_gracilirostris",0.99995,5e-05
"Apomys_hylocetes",0.99995,5e-05
"Apomys_insignis",0.99995,5e-05
"Apomys_iridensis",0.99995,5e-05
"Apomys_littoralis",0.996,0.004
"Apomys_lubangensis",0.99995,5e-05
"Apomys_magnus",0.99995,5e-05
"Apomys_microdon",0.99995,5e-05
"Apomys_minganensis",0.99995,5e-05
"Apomys_musculus",0.99995,5e-05
"Apomys_sacobianus",0.99995,5e-05
"Apomys_sierrae",0.99995,5e-05
"Apomys_zambalensis",0.99995,5e-05
"Aproteles_bulmerae",0.03,0.97
"Arabitragus_jayakari",0.58,0.42
"Arborimus_albipes",0.99995,5e-05
"Arborimus_longicaudus",0.996,0.004
"Arborimus_pomo",0.996,0.004
"Archboldomys_luzonensis",0.95,0.05
"Archboldomys_maximus",0.996,0.004
"Arctictis_binturong",0.95,0.05
"Arctocebus_aureus",0.99995,5e-05
"Arctocebus_calabarensis",0.996,0.004
"Arctocephalus_australis",0.99995,5e-05
"Arctocephalus_forsteri",0.99995,5e-05
"Arctocephalus_galapagoensis",0.58,0.42
"Arctocephalus_gazella",0.99995,5e-05
"Arctocephalus_philippii",0.99995,5e-05
"Arctocephalus_pusillus",0.99995,5e-05
"Arctocephalus_townsendi",0.99995,5e-05
"Arctocephalus_tropicalis",0.99995,5e-05
"Arctogalidia_stigmatica",0.996,0.004
"Arctogalidia_trivirgata",0.99995,5e-05
"Arctonyx_albogularis",0.99995,5e-05
"Arctonyx_collaris",0.95,0.05
"Arctonyx_hoevenii",0.99995,5e-05
"Ardops_nichollsi",0.99995,5e-05
"Arielulus_aureocollaris",0.99995,5e-05
"Arielulus_circumdatus",0.99995,5e-05
"Arielulus_cuprosus",0.95,0.05
"Arielulus_societatis",0.95,0.05
"Arielulus_torquatus",0.99995,5e-05
"Ariteus_flavescens",0.99995,5e-05
"Artibeus_amplus",0.99995,5e-05
"Artibeus_fimbriatus",0.99995,5e-05
"Artibeus_fraterculus",0.99995,5e-05
"Artibeus_hirsutus",0.99995,5e-05
"Artibeus_inopinatus",0.996,0.004
"Artibeus_jamaicensis",0.99995,5e-05
"Artibeus_lituratus",0.99995,5e-05
"Artibeus_obscurus",0.99995,5e-05
"Artibeus_planirostris",0.99995,5e-05
"Artibeus_schwartzi",0.996,0.004
"Arvicanthis_abyssinicus",0.99995,5e-05
"Arvicanthis_ansorgei",0.99995,5e-05
"Arvicanthis_blicki",0.996,0.004
"Arvicanthis_nairobae",0.99995,5e-05
"Arvicanthis_neumanni",0.99995,5e-05
"Arvicanthis_niloticus",0.99995,5e-05
"Arvicanthis_rufinus",0.99995,5e-05
"Arvicola_amphibius",0.99995,5e-05
"Arvicola_italicus",0.996,0.004
"Arvicola_sapidus",0.95,0.05
"Arvicola_scherman",0.99995,5e-05
"Asellia_arabica",0.996,0.004
"Asellia_italosomalica",0.996,0.004
"Asellia_patrizii",0.99995,5e-05
"Asellia_tridens",0.99995,5e-05
"Aselliscus_dongbacana",0.996,0.004
"Aselliscus_stoliczkanus",0.99995,5e-05
"Aselliscus_tricuspidatus",0.99995,5e-05
"Atelerix_albiventris",0.99995,5e-05
"Atelerix_algirus",0.99995,5e-05
"Atelerix_frontalis",0.99995,5e-05
"Atelerix_sclateri",0.99995,5e-05
"Ateles_belzebuth",0.58,0.42
"Ateles_chamek",0.58,0.42
"Ateles_fusciceps",0.03,0.97
"Ateles_geoffroyi",0.58,0.42
"Ateles_hybridus",0.03,0.97
"Ateles_marginatus",0.58,0.42
"Ateles_paniscus",0.95,0.05
"Atelocynus_microtis",0.996,0.004
"Atherurus_africanus",0.99995,5e-05
"Atherurus_macrourus",0.99995,5e-05
"Atilax_paludinosus",0.99995,5e-05
"Atlantoxerus_getulus",0.99995,5e-05
"Auliscomys_boliviensis",0.99995,5e-05
"Auliscomys_pictus",0.99995,5e-05
"Auliscomys_sublimis",0.99995,5e-05
"Austronomus_australis",0.99995,5e-05
"Austronomus_kuboriensis",0.99995,5e-05
"Avahi_betsileo",0.58,0.42
"Avahi_cleesei",0.58,0.42
"Avahi_laniger",0.95,0.05
"Avahi_meridionalis",0.58,0.42
"Avahi_mooreorum",0.58,0.42
"Avahi_occidentalis",0.58,0.42
"Avahi_peyrierasi",0.95,0.05
"Avahi_ramanantsoavanai",0.95,0.05
