"","species","survival","extinction"
"214","Anourosorex_assamensis",0.99995,5e-05
"215","Anourosorex_schmidi",0.996,0.004
"216","Anourosorex_squamipes",0.99995,5e-05
"217","Anourosorex_yamashinai",0.99995,5e-05
"218","Antechinomys_laniger",0.99995,5e-05
"219","Antechinus_adustus",0.99995,5e-05
"220","Antechinus_agilis",0.99995,5e-05
"221","Antechinus_argentus",0.996,0.004
"222","Antechinus_arktos",0.996,0.004
"223","Antechinus_bellus",0.95,0.05
"224","Antechinus_flavipes",0.99995,5e-05
"225","Antechinus_godmani",0.99995,5e-05
"226","Antechinus_leo",0.99995,5e-05
"227","Antechinus_mimetes",0.996,0.004
"228","Antechinus_minimus",0.99995,5e-05
"229","Antechinus_mysticus",0.996,0.004
"230","Antechinus_stuartii",0.99995,5e-05
"231","Antechinus_subtropicus",0.99995,5e-05
"232","Antechinus_swainsonii",0.99995,5e-05
"233","Antechinus_vandycki",0.996,0.004
"234","Anthops_ornatus",0.996,0.004
"235","Antidorcas_marsupialis",0.99995,5e-05
"236","Antilocapra_americana",0.99995,5e-05
"237","Antilope_cervicapra",0.99995,5e-05
"238","Antrozous_pallidus",0.99995,5e-05
"239","Aonyx_capensis",0.996,0.004
"240","Aonyx_cinereus",0.95,0.05
"241","Aonyx_congicus",0.996,0.004
"242","Aotus_azarae",0.99995,5e-05
"243","Aotus_brumbacki",0.95,0.05
"244","Aotus_griseimembra",0.95,0.05
"245","Aotus_jorgehernandezi",0.996,0.004
"246","Aotus_lemurinus",0.95,0.05
"247","Aotus_miconax",0.58,0.42
"248","Aotus_nancymaae",0.95,0.05
"249","Aotus_nigriceps",0.99995,5e-05
"250","Aotus_trivirgatus",0.99995,5e-05
"251","Aotus_vociferans",0.99995,5e-05
"252","Aotus_zonalis",0.996,0.004
"253","Aplodontia_rufa",0.99995,5e-05
"254","Apodemus_agrarius",0.99995,5e-05
"255","Apodemus_alpicola",0.99995,5e-05
"256","Apodemus_argenteus",0.99995,5e-05
"257","Apodemus_avicennicus",0.996,0.004
"258","Apodemus_chevrieri",0.99995,5e-05
"259","Apodemus_draco",0.99995,5e-05
"260","Apodemus_epimelas",0.99995,5e-05
"261","Apodemus_flavicollis",0.99995,5e-05
"262","Apodemus_gurkha",0.99995,5e-05
"263","Apodemus_hyrcanicus",0.996,0.004
"264","Apodemus_ilex",0.996,0.004
"265","Apodemus_latronum",0.99995,5e-05
"266","Apodemus_microps",0.996,0.004
"267","Apodemus_mystacinus",0.99995,5e-05
"268","Apodemus_pallipes",0.99995,5e-05
"269","Apodemus_peninsulae",0.99995,5e-05
"270","Apodemus_ponticus",0.99995,5e-05
