"","species","survival","extinction"
"1543","Dolichotis_salinicola",0.99995,5e-05
"1544","Dologale_dybowskii",0.996,0.004
"1545","Dorcatragus_megalotis",0.95,0.05
"1546","Dorcopsis_atrata",0.03,0.97
"1547","Dorcopsis_hageni",0.99995,5e-05
"1548","Dorcopsis_luctuosa",0.95,0.05
"1549","Dorcopsis_muelleri",0.99995,5e-05
"1550","Dorcopsulus_macleayi",0.99995,5e-05
"1551","Dorcopsulus_vanheurni",0.996,0.004
"1552","Doryrhina_cyclops",0.99995,5e-05
"1553","Dremomys_gularis",0.996,0.004
"1554","Dremomys_lokriah",0.99995,5e-05
"1555","Dremomys_pernyi",0.99995,5e-05
"1556","Dremomys_pyrrhomerus",0.99995,5e-05
"1557","Dremomys_rufigenis",0.99995,5e-05
"1558","Dromiciops_bozinovici",0.996,0.004
"1559","Dromiciops_gliroides",0.996,0.004
"1560","Dromiciops_mondaca",0.996,0.004
"1561","Dryadonycteris_capixaba",0.996,0.004
"1562","Drymoreomys_albimaculatus",0.996,0.004
"1563","Dryomys_laniger",0.996,0.004
"1564","Dryomys_niethammeri",0.95,0.05
"1565","Dryomys_nitedula",0.99995,5e-05
"1566","Dugong_dugon",0.95,0.05
"1567","Dyacopterus_brooksi",0.95,0.05
"1568","Dyacopterus_rickarti",0.996,0.004
"1569","Dyacopterus_spadiceus",0.996,0.004
"1570","Dymecodon_pilirostris",0.99995,5e-05
"1571","Echimys_chrysurus",0.99995,5e-05
"1572","Echimys_saturnus",0.996,0.004
"1573","Echimys_vieirai",0.996,0.004
"1574","Echinops_telfairi",0.99995,5e-05
"1575","Echinosorex_gymnura",0.99995,5e-05
"1576","Echiothrix_centrosa",0.95,0.05
"1577","Echiothrix_leucura",0.58,0.42
"1578","Echymipera_clara",0.99995,5e-05
"1579","Echymipera_davidi",0.58,0.42
"1580","Echymipera_echinista",0.996,0.004
"1581","Echymipera_kalubu",0.99995,5e-05
"1582","Echymipera_rufescens",0.99995,5e-05
"1583","Ectophylla_alba",0.996,0.004
"1584","Eidolon_dupreanum",0.95,0.05
"1585","Eidolon_helvum",0.996,0.004
"1586","Eira_barbara",0.99995,5e-05
"1587","Elaphodus_cephalophus",0.996,0.004
"1588","Elaphurus_davidianus",0.03,0.97
"1589","Elephantulus_brachyrhynchus",0.99995,5e-05
"1590","Elephantulus_edwardii",0.99995,5e-05
"1591","Elephantulus_fuscipes",0.996,0.004
"1592","Elephantulus_fuscus",0.996,0.004
"1593","Elephantulus_intufi",0.99995,5e-05
"1594","Elephantulus_myurus",0.99995,5e-05
"1595","Elephantulus_pilicaudus",0.996,0.004
"1596","Elephantulus_revoili",0.996,0.004
"1597","Elephantulus_rufescens",0.99995,5e-05
"1598","Elephantulus_rupestris",0.99995,5e-05
"1599","Elephas_maximus",0.58,0.42
"1600","Eligmodontia_bolsonensis",0.996,0.004
"1601","Eligmodontia_dunaris",0.996,0.004
"1602","Eligmodontia_hirtipes",0.996,0.004
"1603","Eligmodontia_moreni",0.99995,5e-05
"1604","Eligmodontia_morgani",0.99995,5e-05
"1605","Eligmodontia_puerulus",0.99995,5e-05
"1606","Eligmodontia_typus",0.99995,5e-05
"1607","Eliomys_melanurus",0.99995,5e-05
"1608","Eliomys_munbyanus",0.99995,5e-05
"1609","Eliomys_quercinus",0.996,0.004
"1610","Eliurus_antsingy",0.996,0.004
"1611","Eliurus_carletoni",0.99995,5e-05
"1612","Eliurus_danieli",0.99995,5e-05
"1613","Eliurus_ellermani",0.996,0.004
"1614","Eliurus_grandidieri",0.99995,5e-05
"1615","Eliurus_majori",0.99995,5e-05
"1616","Eliurus_minor",0.99995,5e-05
"1617","Eliurus_myoxinus",0.99995,5e-05
"1618","Eliurus_penicillatus",0.58,0.42
"1619","Eliurus_petteri",0.58,0.42
"1620","Eliurus_tanala",0.99995,5e-05
"1621","Eliurus_webbi",0.99995,5e-05
"1622","Ellobius_alaicus",0.996,0.004
"1623","Ellobius_fuscocapillus",0.99995,5e-05
"1624","Ellobius_lutescens",0.99995,5e-05
"1625","Ellobius_talpinus",0.99995,5e-05
"1626","Ellobius_tancrei",0.99995,5e-05
"1627","Emballonura_alecto",0.99995,5e-05
"1628","Emballonura_beccarii",0.99995,5e-05
"1629","Emballonura_dianae",0.99995,5e-05
"1630","Emballonura_furax",0.99995,5e-05
"1631","Emballonura_monticola",0.99995,5e-05
"1632","Emballonura_raffrayana",0.99995,5e-05
"1633","Emballonura_semicaudata",0.58,0.42
"1634","Emballonura_serii",0.95,0.05
"1635","Enchisthenes_hartii",0.99995,5e-05
"1636","Enhydra_lutris",0.58,0.42
"1637","Eoglaucomys_fimbriatus",0.99995,5e-05
"1638","Eolagurus_luteus",0.99995,5e-05
"1639","Eolagurus_przewalskii",0.99995,5e-05
"1640","Eonycteris_major",0.996,0.004
"1641","Eonycteris_robusta",0.996,0.004
"1642","Eonycteris_spelaea",0.99995,5e-05
"1643","Eospalax_baileyi",0.996,0.004
"1644","Eospalax_cansus",0.996,0.004
"1645","Eospalax_fontanierii",0.99995,5e-05
"1646","Eospalax_rothschildi",0.99995,5e-05
"1647","Eospalax_rufescens",0.996,0.004
"1648","Eospalax_smithii",0.99995,5e-05
"1649","Eothenomys_chinensis",0.99995,5e-05
"1650","Eothenomys_custos",0.99995,5e-05
"1651","Eothenomys_eleusis",0.996,0.004
"1652","Eothenomys_hintoni",0.996,0.004
"1653","Eothenomys_melanogaster",0.99995,5e-05
"1654","Eothenomys_miletus",0.99995,5e-05
"1655","Eothenomys_olitor",0.99995,5e-05
"1656","Eothenomys_proditor",0.996,0.004
"1657","Eothenomys_tarquinius",0.996,0.004
"1658","Eothenomys_wardi",0.996,0.004
"1659","Eozapus_setchuanus",0.99995,5e-05
"1660","Episoriculus_baileyi",0.996,0.004
"1661","Episoriculus_caudatus",0.99995,5e-05
"1662","Episoriculus_fumidus",0.99995,5e-05
"1663","Episoriculus_leucops",0.99995,5e-05
"1664","Episoriculus_macrurus",0.99995,5e-05
"1665","Episoriculus_sacratus",0.996,0.004
"1666","Epixerus_ebii",0.99995,5e-05
"1667","Epomophorus_angolensis",0.996,0.004
"1668","Epomophorus_anselli",0.996,0.004
"1669","Epomophorus_crypturus",0.99995,5e-05
"1670","Epomophorus_dobsonii",0.99995,5e-05
"1671","Epomophorus_gambianus",0.99995,5e-05
"1672","Epomophorus_grandis",0.996,0.004
"1673","Epomophorus_labiatus",0.99995,5e-05
"1674","Epomophorus_minimus",0.99995,5e-05
"1675","Epomophorus_minor",0.99995,5e-05
"1676","Epomophorus_wahlbergi",0.99995,5e-05
"1677","Epomops_buettikoferi",0.99995,5e-05
"1678","Epomops_franqueti",0.99995,5e-05
"1679","Eptesicus_anatolicus",0.996,0.004
"1680","Eptesicus_andinus",0.99995,5e-05
"1681","Eptesicus_bottae",0.99995,5e-05
"1682","Eptesicus_brasiliensis",0.99995,5e-05
"1683","Eptesicus_chiriquinus",0.99995,5e-05
"1684","Eptesicus_diminutus",0.99995,5e-05
"1685","Eptesicus_dimissus",0.996,0.004
"1686","Eptesicus_floweri",0.99995,5e-05
"1687","Eptesicus_furinalis",0.99995,5e-05
"1688","Eptesicus_fuscus",0.99995,5e-05
"1689","Eptesicus_gobiensis",0.99995,5e-05
"1690","Eptesicus_guadeloupensis",0.58,0.42
"1691","Eptesicus_hottentotus",0.99995,5e-05
"1692","Eptesicus_innoxius",0.996,0.004
"1693","Eptesicus_isabellinus",0.99995,5e-05
"1694","Eptesicus_japonensis",0.58,0.42
"1695","Eptesicus_kobayashii",0.996,0.004
"1696","Eptesicus_lobatus",0.996,0.004
"1697","Eptesicus_lynni",0.996,0.004
"1698","Eptesicus_nilssonii",0.99995,5e-05
"1699","Eptesicus_ognevi",0.996,0.004
"1700","Eptesicus_pachyomus",0.99995,5e-05
"1701","Eptesicus_pachyotis",0.99995,5e-05
"1702","Eptesicus_platyops",0.996,0.004
"1703","Eptesicus_serotinus",0.99995,5e-05
"1704","Eptesicus_taddeii",0.996,0.004
"1705","Eptesicus_tatei",0.996,0.004
"1706","Equus_africanus",0.03,0.97
"1707","Equus_asinus",0.996,0.004
"1708","Equus_caballus",0.996,0.004
"1709","Equus_ferus",0.58,0.42
"1710","Equus_grevyi",0.58,0.42
"1711","Equus_hemionus",0.996,0.004
"1712","Equus_kiang",0.99995,5e-05
"1713","Equus_quagga",0.996,0.004
"1714","Equus_zebra",0.95,0.05
"1715","Eremitalpa_granti",0.99995,5e-05
"1716","Eremodipus_lichtensteini",0.99995,5e-05
"1717","Eremoryzomys_mesocaudis",0.996,0.004
"1718","Eremoryzomys_polius",0.996,0.004
"1719","Erethizon_dorsatum",0.99995,5e-05
"1720","Erignathus_barbatus",0.99995,5e-05
"1721","Erinaceus_amurensis",0.99995,5e-05
"1722","Erinaceus_concolor",0.99995,5e-05
"1723","Erinaceus_europaeus",0.99995,5e-05
"1724","Erinaceus_roumanicus",0.99995,5e-05
"1725","Eropeplus_canus",0.95,0.05
"1726","Erophylla_bombifrons",0.99995,5e-05
"1727","Erophylla_sezekorni",0.99995,5e-05
"1728","Erythrocebus_patas",0.99995,5e-05
"1729","Eschrichtius_robustus",0.99995,5e-05
"1730","Eubalaena_australis",0.99995,5e-05
"1731","Eubalaena_glacialis",0.58,0.42
"1732","Eubalaena_japonica",0.58,0.42
"1733","Euchoreutes_naso",0.99995,5e-05
"1734","Euderma_maculatum",0.99995,5e-05
"1735","Eudiscoderma_thongareeae",0.03,0.97
"1736","Eudiscopus_denticulus",0.99995,5e-05
"1737","Eudorcas_albonotata",0.99995,5e-05
"1738","Eudorcas_rufifrons",0.95,0.05
"1739","Eudorcas_rufina",0.996,0.004
"1740","Eudorcas_thomsonii",0.99995,5e-05
"1741","Eudorcas_tilonura",0.58,0.42
"1742","Eulemur_albifrons",0.58,0.42
"1743","Eulemur_cinereiceps",0.03,0.97
"1744","Eulemur_collaris",0.58,0.42
"1745","Eulemur_coronatus",0.58,0.42
"1746","Eulemur_flavifrons",0.03,0.97
"1747","Eulemur_fulvus",0.996,0.004
"1748","Eulemur_macaco",0.95,0.05
"1749","Eulemur_mongoz",0.03,0.97
"1750","Eulemur_rubriventer",0.95,0.05
"1751","Eulemur_rufifrons",0.996,0.004
"1752","Eulemur_rufus",0.95,0.05
"1753","Eulemur_sanfordi",0.58,0.42
"1754","Eumetopias_jubatus",0.996,0.004
"1755","Eumops_auripendulus",0.99995,5e-05
"1756","Eumops_bonariensis",0.99995,5e-05
"1757","Eumops_chimaera",0.996,0.004
"1758","Eumops_chiribaya",0.996,0.004
"1759","Eumops_dabbenei",0.99995,5e-05
"1760","Eumops_delticus",0.996,0.004
"1761","Eumops_ferox",0.99995,5e-05
"1762","Eumops_floridanus",0.95,0.05
"1763","Eumops_glaucinus",0.99995,5e-05
"1764","Eumops_hansae",0.99995,5e-05
"1765","Eumops_maurus",0.996,0.004
"1766","Eumops_nanus",0.99995,5e-05
"1767","Eumops_patagonicus",0.99995,5e-05
"1768","Eumops_perotis",0.99995,5e-05
"1769","Eumops_trumbulli",0.99995,5e-05
"1770","Eumops_underwoodi",0.99995,5e-05
"1771","Eumops_wilsoni",0.996,0.004
"1772","Euneomys_chinchilloides",0.996,0.004
"1773","Euneomys_fossor",0.996,0.004
"1774","Euneomys_mordax",0.99995,5e-05
"1775","Euneomys_petersoni",0.99995,5e-05
"1776","Euoticus_elegantulus",0.99995,5e-05
"1777","Euoticus_pallidus",0.99995,5e-05
"1778","Eupetaurus_cinereus",0.58,0.42
"1779","Euphractus_sexcinctus",0.99995,5e-05
"1780","Eupleres_goudotii",0.95,0.05
"1781","Eupleres_major",0.58,0.42
"1782","Euroscaptor_grandis",0.99995,5e-05
"1783","Euroscaptor_klossi",0.99995,5e-05
"1784","Euroscaptor_kuznetsovi",0.996,0.004
"1785","Euroscaptor_longirostris",0.99995,5e-05
"1786","Euroscaptor_malayana",0.996,0.004
"1787","Euroscaptor_micrura",0.99995,5e-05
"1788","Euroscaptor_orlovi",0.996,0.004
"1789","Euroscaptor_parvidens",0.996,0.004
"1790","Euroscaptor_subanura",0.996,0.004
"1791","Euryoryzomys_emmonsae",0.996,0.004
"1792","Euryoryzomys_lamia",0.95,0.05
"1793","Euryoryzomys_legatus",0.99995,5e-05
"1794","Euryoryzomys_macconnelli",0.99995,5e-05
"1795","Euryoryzomys_nitidus",0.99995,5e-05
"1796","Euryoryzomys_russatus",0.99995,5e-05
"1797","Euryzygomatomys_spinosus",0.99995,5e-05
"1798","Eutamias_sibiricus",0.99995,5e-05
"1799","Euxerus_erythropus",0.99995,5e-05
"1800","Exilisciurus_concinnus",0.99995,5e-05
"1801","Exilisciurus_exilis",0.996,0.004
"1802","Exilisciurus_whiteheadi",0.99995,5e-05
"1803","Falsistrellus_affinis",0.99995,5e-05
"1804","Falsistrellus_mackenziei",0.996,0.004
"1805","Falsistrellus_mordax",0.996,0.004
"1806","Falsistrellus_petersi",0.996,0.004
"1807","Falsistrellus_tasmaniensis",0.99995,5e-05
"1808","Felis_bieti",0.95,0.05
"1809","Felis_catus",0.996,0.004
"1810","Felis_chaus",0.99995,5e-05
"1811","Felis_lybicus",0.996,0.004
"1812","Felis_margarita",0.99995,5e-05
"1813","Felis_nigripes",0.95,0.05
"1814","Felis_silvestris",0.99995,5e-05
"1815","Felovia_vae",0.99995,5e-05
"1816","Feresa_attenuata",0.99995,5e-05
"1817","Feroculus_feroculus",0.58,0.42
"1818","Fossa_fossana",0.95,0.05
"1819","Fukomys_amatus",0.996,0.004
"1820","Fukomys_anselli",0.996,0.004
"1821","Fukomys_bocagei",0.99995,5e-05
"1822","Fukomys_damarensis",0.99995,5e-05
"1823","Fukomys_darlingi",0.99995,5e-05
"1824","Fukomys_foxi",0.996,0.004
"1825","Fukomys_hanangensis",0.996,0.004
"1826","Fukomys_ilariae",0.996,0.004
"1827","Fukomys_kafuensis",0.95,0.05
"1828","Fukomys_livingstoni",0.996,0.004
"1829","Fukomys_mechowii",0.99995,5e-05
"1830","Fukomys_micklemi",0.996,0.004
"1831","Fukomys_ochraceocinereus",0.99995,5e-05
"1832","Fukomys_vandewoestijneae",0.996,0.004
"1833","Fukomys_whytei",0.996,0.004
"1834","Fukomys_zechi",0.99995,5e-05
"1835","Funambulus_layardi",0.95,0.05
"1836","Funambulus_palmarum",0.99995,5e-05
"1837","Funambulus_pennantii",0.99995,5e-05
"1838","Funambulus_sublineatus",0.95,0.05
"1839","Funambulus_tristriatus",0.99995,5e-05
"1840","Funisciurus_anerythrus",0.99995,5e-05
"1841","Funisciurus_bayonii",0.996,0.004
"1842","Funisciurus_carruthersi",0.99995,5e-05
"1843","Funisciurus_congicus",0.99995,5e-05
"1844","Funisciurus_duchaillui",0.996,0.004
"1845","Funisciurus_isabella",0.99995,5e-05
"1846","Funisciurus_lemniscatus",0.99995,5e-05
"1847","Funisciurus_leucogenys",0.99995,5e-05
"1848","Funisciurus_pyrropus",0.99995,5e-05
"1849","Funisciurus_substriatus",0.996,0.004
"1850","Furipterus_horrens",0.99995,5e-05
"1851","Galago_gallarum",0.99995,5e-05
"1852","Galago_matschiei",0.99995,5e-05
"1853","Galago_moholi",0.99995,5e-05
"1854","Galago_senegalensis",0.99995,5e-05
"1855","Galagoides_demidovii",0.99995,5e-05
"1856","Galagoides_kumbirensis",0.996,0.004
"1857","Galagoides_thomasi",0.99995,5e-05
"1858","Galea_comes",0.996,0.004
"1859","Galea_flavidens",0.99995,5e-05
"1860","Galea_leucoblephara",0.99995,5e-05
"1861","Galea_musteloides",0.996,0.004
"1862","Galea_spixii",0.99995,5e-05
"1863","Galemys_pyrenaicus",0.95,0.05
"1864","Galenomys_garleppi",0.996,0.004
"1865","Galeopterus_variegatus",0.99995,5e-05
"1866","Galerella_flavescens",0.99995,5e-05
"1867","Galerella_nigrata",0.996,0.004
"1868","Galerella_ochracea",0.99995,5e-05
"1869","Galerella_pulverulenta",0.99995,5e-05
"1870","Galerella_sanguinea",0.99995,5e-05
"1871","Galictis_cuja",0.99995,5e-05
"1872","Galictis_vittata",0.99995,5e-05
"1873","Galidia_elegans",0.99995,5e-05
"1874","Galidictis_fasciata",0.95,0.05
"1875","Galidictis_grandidieri",0.58,0.42
"1876","Gardnerycteris_crenulatum",0.99995,5e-05
"1877","Gardnerycteris_koepckeae",0.996,0.004
"1878","Gazella_arabica",0.95,0.05
"1879","Gazella_bennettii",0.99995,5e-05
"1880","Gazella_cuvieri",0.95,0.05
"1881","Gazella_dorcas",0.95,0.05
"1882","Gazella_gazella",0.58,0.42
"1883","Gazella_leptoceros",0.58,0.42
"1884","Gazella_marica",0.95,0.05
"1885","Gazella_spekei",0.58,0.42
"1886","Gazella_subgutturosa",0.95,0.05
"1887","Genetta_abyssinica",0.996,0.004
"1888","Genetta_angolensis",0.99995,5e-05
"1889","Genetta_bourloni",0.95,0.05
"1890","Genetta_cristata",0.95,0.05
"1891","Genetta_felina",0.996,0.004
"1892","Genetta_genetta",0.99995,5e-05
"1893","Genetta_johnstoni",0.996,0.004
"1894","Genetta_maculata",0.99995,5e-05
"1895","Genetta_pardina",0.99995,5e-05
"1896","Genetta_piscivora",0.996,0.004
"1897","Genetta_poensis",0.996,0.004
"1898","Genetta_servalina",0.99995,5e-05
"1899","Genetta_thierryi",0.99995,5e-05
"1900","Genetta_tigrina",0.99995,5e-05
"1901","Genetta_victoriae",0.99995,5e-05
"1902","Geocapromys_brownii",0.58,0.42
"1903","Geocapromys_ingrahami",0.95,0.05
"1904","Geogale_aurita",0.99995,5e-05
"1905","Geomys_arenarius",0.996,0.004
"1906","Geomys_attwateri",0.99995,5e-05
"1907","Geomys_breviceps",0.99995,5e-05
"1908","Geomys_bursarius",0.99995,5e-05
"1909","Geomys_jugossicularis",0.996,0.004
"1910","Geomys_knoxjonesi",0.99995,5e-05
"1911","Geomys_lutescens",0.996,0.004
"1912","Geomys_personatus",0.99995,5e-05
"1913","Geomys_pinetis",0.99995,5e-05
"1914","Geomys_streckeri",0.996,0.004
"1915","Geomys_texensis",0.99995,5e-05
"1916","Geomys_tropicalis",0.58,0.42
"1917","Georychus_capensis",0.99995,5e-05
"1918","Geosciurus_inauris",0.99995,5e-05
"1919","Geosciurus_princeps",0.99995,5e-05
"1920","Geoxus_annectens",0.95,0.05
"1921","Geoxus_lafkenche",0.996,0.004
"1922","Geoxus_michaelseni",0.996,0.004
"1923","Geoxus_valdivianus",0.99995,5e-05
"1924","Gerbilliscus_afra",0.99995,5e-05
"1925","Gerbilliscus_boehmi",0.99995,5e-05
"1926","Gerbilliscus_brantsii",0.99995,5e-05
"1927","Gerbilliscus_gambianus",0.99995,5e-05
"1928","Gerbilliscus_giffardi",0.996,0.004
"1929","Gerbilliscus_guineae",0.99995,5e-05
"1930","Gerbilliscus_inclusus",0.99995,5e-05
"1931","Gerbilliscus_kempi",0.99995,5e-05
"1932","Gerbilliscus_leucogaster",0.99995,5e-05
"1933","Gerbilliscus_nigricaudus",0.99995,5e-05
"1934","Gerbilliscus_paeba",0.99995,5e-05
"1935","Gerbilliscus_phillipsi",0.99995,5e-05
"1936","Gerbilliscus_robustus",0.99995,5e-05
"1937","Gerbilliscus_setzeri",0.99995,5e-05
"1938","Gerbilliscus_tytonis",0.99995,5e-05
"1939","Gerbilliscus_validus",0.99995,5e-05
"1940","Gerbilliscus_vallinus",0.99995,5e-05
"1941","Gerbilliscus_vicinus",0.996,0.004
"1942","Gerbillus_acticola",0.996,0.004
"1943","Gerbillus_agag",0.996,0.004
"1944","Gerbillus_amoenus",0.99995,5e-05
"1945","Gerbillus_andersoni",0.99995,5e-05
"1946","Gerbillus_aquilus",0.99995,5e-05
"1947","Gerbillus_bottai",0.996,0.004
"1948","Gerbillus_brockmani",0.996,0.004
"1949","Gerbillus_burtoni",0.996,0.004
"1950","Gerbillus_campestris",0.99995,5e-05
"1951","Gerbillus_cheesmani",0.99995,5e-05
"1952","Gerbillus_dasyurus",0.99995,5e-05
"1953","Gerbillus_dunni",0.99995,5e-05
"1954","Gerbillus_famulus",0.99995,5e-05
"1955","Gerbillus_floweri",0.99995,5e-05
"1956","Gerbillus_garamantis",0.996,0.004
"1957","Gerbillus_gerbillus",0.99995,5e-05
"1958","Gerbillus_gleadowi",0.99995,5e-05
"1959","Gerbillus_grobbeni",0.996,0.004
"1960","Gerbillus_harwoodi",0.99995,5e-05
"1961","Gerbillus_henleyi",0.99995,5e-05
"1962","Gerbillus_hesperinus",0.58,0.42
"1963","Gerbillus_hoogstraali",0.95,0.05
"1964","Gerbillus_jamesi",0.996,0.004
"1965","Gerbillus_latastei",0.996,0.004
"1966","Gerbillus_lowei",0.996,0.004
"1967","Gerbillus_mackillingini",0.99995,5e-05
"1968","Gerbillus_maghrebi",0.99995,5e-05
"1969","Gerbillus_mauritaniae",0.996,0.004
"1970","Gerbillus_mesopotamiae",0.99995,5e-05
"1971","Gerbillus_muriculus",0.996,0.004
"1972","Gerbillus_nancillus",0.996,0.004
"1973","Gerbillus_nanus",0.99995,5e-05
"1974","Gerbillus_nigeriae",0.99995,5e-05
"1975","Gerbillus_occiduus",0.996,0.004
"1976","Gerbillus_poecilops",0.99995,5e-05
"1977","Gerbillus_principulus",0.996,0.004
"1978","Gerbillus_pulvinatus",0.99995,5e-05
"1979","Gerbillus_pusillus",0.99995,5e-05
"1980","Gerbillus_pyramidum",0.99995,5e-05
"1981","Gerbillus_rosalinda",0.99995,5e-05
"1982","Gerbillus_rupicola",0.99995,5e-05
"1983","Gerbillus_simoni",0.99995,5e-05
"1984","Gerbillus_somalicus",0.996,0.004
"1985","Gerbillus_stigmonyx",0.996,0.004
"1986","Gerbillus_syrticus",0.996,0.004
"1987","Gerbillus_tarabuli",0.99995,5e-05
"1988","Gerbillus_vivax",0.996,0.004
"1989","Gerbillus_watersi",0.99995,5e-05
"1990","Giraffa_camelopardalis",0.95,0.05
"1991","Giraffa_giraffa",0.996,0.004
"1992","Giraffa_reticulata",0.996,0.004
"1993","Giraffa_tippelskirchi",0.996,0.004
"1994","Glaucomys_oregonensis",0.996,0.004
"1995","Glaucomys_sabrinus",0.99995,5e-05
"1996","Glaucomys_volans",0.99995,5e-05
"1997","Glauconycteris_alboguttata",0.99995,5e-05
"1998","Glauconycteris_argentata",0.99995,5e-05
"1999","Glauconycteris_beatrix",0.99995,5e-05
"2000","Glauconycteris_curryae",0.996,0.004
"2001","Glauconycteris_egeria",0.996,0.004
"2002","Glauconycteris_gleni",0.996,0.004
"2003","Glauconycteris_humeralis",0.996,0.004
"2004","Glauconycteris_kenyacola",0.996,0.004
"2005","Glauconycteris_machadoi",0.996,0.004
"2006","Glauconycteris_poensis",0.99995,5e-05
"2007","Glauconycteris_variegata",0.99995,5e-05
"2008","Glironia_venusta",0.99995,5e-05
"2009","Glirulus_japonicus",0.99995,5e-05
"2010","Glis_glis",0.99995,5e-05
"2011","Glischropus_aquilus",0.996,0.004
"2012","Glischropus_bucephalus",0.99995,5e-05
"2013","Glischropus_javanus",0.996,0.004
"2014","Glischropus_tylopus",0.99995,5e-05
"2015","Globicephala_macrorhynchus",0.99995,5e-05
"2016","Globicephala_melas",0.99995,5e-05
"2017","Glossophaga_commissarisi",0.99995,5e-05
"2018","Glossophaga_leachii",0.99995,5e-05
"2019","Glossophaga_longirostris",0.99995,5e-05
"2020","Glossophaga_morenoi",0.99995,5e-05
"2021","Glossophaga_soricina",0.99995,5e-05
"2022","Glyphonycteris_behnii",0.996,0.004
"2023","Glyphonycteris_daviesi",0.99995,5e-05
"2024","Glyphonycteris_sylvestris",0.99995,5e-05
"2025","Glyphotes_simus",0.996,0.004
"2026","Golunda_ellioti",0.99995,5e-05
"2027","Gorilla_beringei",0.03,0.97
"2028","Gorilla_gorilla",0.03,0.97
"2029","Gracilimus_radix",0.996,0.004
"2030","Gracilinanus_aceramarcae",0.99995,5e-05
"2031","Gracilinanus_agilis",0.99995,5e-05
"2032","Gracilinanus_dryas",0.99995,5e-05
"2033","Gracilinanus_emiliae",0.996,0.004
"2034","Gracilinanus_marica",0.99995,5e-05
"2035","Gracilinanus_microtarsus",0.99995,5e-05
"2036","Gracilinanus_peruanus",0.996,0.004
"2037","Grammomys_aridulus",0.996,0.004
"2038","Grammomys_brevirostris",0.996,0.004
"2039","Grammomys_buntingi",0.996,0.004
"2040","Grammomys_caniceps",0.996,0.004
"2041","Grammomys_cometes",0.99995,5e-05
"2042","Grammomys_dolichurus",0.99995,5e-05
"2043","Grammomys_dryas",0.99995,5e-05
"2044","Grammomys_gigas",0.58,0.42
"2045","Grammomys_ibeanus",0.99995,5e-05
"2046","Grammomys_kuru",0.99995,5e-05
"2047","Grammomys_macmillani",0.99995,5e-05
"2048","Grammomys_minnae",0.95,0.05
"2049","Grammomys_poensis",0.996,0.004
"2050","Grammomys_selousi",0.99995,5e-05
"2051","Grampus_griseus",0.99995,5e-05
"2052","Graomys_chacoensis",0.996,0.004
"2053","Graomys_domorum",0.99995,5e-05
"2054","Graomys_edithae",0.996,0.004
"2055","Graomys_griseoflavus",0.99995,5e-05
"2056","Graphiurus_angolensis",0.996,0.004
"2057","Graphiurus_christyi",0.99995,5e-05
"2058","Graphiurus_crassicaudatus",0.996,0.004
"2059","Graphiurus_johnstoni",0.996,0.004
"2060","Graphiurus_kelleni",0.99995,5e-05
"2061","Graphiurus_lorraineus",0.99995,5e-05
"2062","Graphiurus_microtis",0.99995,5e-05
"2063","Graphiurus_monardi",0.996,0.004
"2064","Graphiurus_murinus",0.99995,5e-05
"2065","Graphiurus_nagtglasii",0.99995,5e-05
"2066","Graphiurus_ocularis",0.99995,5e-05
"2067","Graphiurus_platyops",0.99995,5e-05
"2068","Graphiurus_rupicola",0.99995,5e-05
"2069","Graphiurus_surdus",0.996,0.004
"2070","Graphiurus_walterverheyeni",0.996,0.004
"2071","Gulo_gulo",0.99995,5e-05
"2072","Gyldenstolpia_fronto",0.03,0.97
"2073","Gyldenstolpia_planaltensis",0.996,0.004
"2074","Gymnobelideus_leadbeateri",0.03,0.97
"2075","Gymnuromys_roberti",0.99995,5e-05
"2076","Habromys_chinanteco",0.03,0.97
"2077","Habromys_delicatulus",0.58,0.42
"2078","Habromys_ixtlani",0.03,0.97
"2079","Habromys_lepturus",0.03,0.97
"2080","Habromys_lophurus",0.996,0.004
"2081","Habromys_schmidlyi",0.03,0.97
"2082","Habromys_simulatus",0.03,0.97
"2083","Hadromys_humei",0.58,0.42
"2084","Hadromys_yunnanensis",0.996,0.004
"2085","Haeromys_margarettae",0.996,0.004
"2086","Haeromys_minahassae",0.95,0.05
"2087","Haeromys_pusillus",0.95,0.05
"2088","Halichoerus_grypus",0.99995,5e-05
"2089","Halmaheramys_bokimekot",0.996,0.004
"2090","Handleyomys_alfaroi",0.99995,5e-05
"2091","Handleyomys_chapmani",0.95,0.05
"2092","Handleyomys_fuscatus",0.99995,5e-05
"2093","Handleyomys_guerrerensis",0.996,0.004
"2094","Handleyomys_intectus",0.99995,5e-05
"2095","Handleyomys_melanotis",0.99995,5e-05
"2096","Handleyomys_rhabdops",0.58,0.42
"2097","Handleyomys_rostratus",0.99995,5e-05
"2098","Handleyomys_saturatior",0.996,0.004
"2099","Hapalemur_alaotrensis",0.03,0.97
"2100","Hapalemur_aureus",0.03,0.97
"2101","Hapalemur_griseus",0.95,0.05
"2102","Hapalemur_meridionalis",0.95,0.05
"2103","Hapalemur_occidentalis",0.95,0.05
"2104","Hapalomys_delacouri",0.95,0.05
"2105","Hapalomys_longicaudatus",0.58,0.42
"2106","Hapalomys_suntsovi",0.996,0.004
"2107","Haplonycteris_fischeri",0.99995,5e-05
"2108","Harpiocephalus_harpia",0.99995,5e-05
"2109","Harpiola_grisea",0.996,0.004
"2110","Harpiola_isodon",0.996,0.004
