"species","survival","extinction"
"Melanitta_deglandi",0.8,0.2
"Melanitta_nigra",0.8,0.2
"Melanitta_americana",0.6,0.4
"Bucephala_albeola",0.8,0.2
"Bucephala_clangula",0.8,0.2
"Bucephala_islandica",0.8,0.2
"Mergellus_albellus",0.8,0.2
"Lophodytes_cucullatus",0.8,0.2
"Mergus_merganser",0.8,0.2
"Mergus_squamatus",0.1,0.9
"Mergus_serrator",0.8,0.2
"Mergus_octosetaceus",0.01,0.99
"Histrionicus_histrionicus",0.8,0.2
"Neochen_jubata",0.6,0.4
"Chloephaga_melanoptera",0.8,0.2
"Chloephaga_picta",0.8,0.2
"Chloephaga_hybrida",0.8,0.2
"Chloephaga_poliocephala",0.8,0.2
"Chloephaga_rubidiceps",0.8,0.2
"Radjah_radjah",0.8,0.2
"Alopochen_aegyptiaca",0.8,0.2
"Tadorna_tadorna",0.8,0.2
"Tadorna_ferruginea",0.8,0.2
"Tadorna_cana",0.8,0.2
"Tadorna_tadornoides",0.8,0.2
"Tadorna_variegata",0.8,0.2
"Tadorna_cristata",0.01,0.99
"Plectropterus_gambensis",0.8,0.2
"Cairina_moschata",0.8,0.2
"Sarkidiornis_sylvicola",0.8,0.2
"Sarkidiornis_melanotos",0.8,0.2
"Nettapus_auritus",0.8,0.2
"Nettapus_coromandelianus",0.8,0.2
"Nettapus_pulchellus",0.8,0.2
"Callonetta_leucophrys",0.8,0.2
"Aix_sponsa",0.8,0.2
"Aix_galericulata",0.8,0.2
"Chenonetta_jubata",0.8,0.2
"Hymenolaimus_malacorhynchos",0.1,0.9
"Merganetta_armata",0.8,0.2
"Pteronetta_hartlaubii",0.8,0.2
"Cyanochen_cyanoptera",0.2,0.8
"Marmaronetta_angustirostris",0.2,0.8
"Asarcornis_scutulata",0.1,0.9
"Netta_rufina",0.8,0.2
"Netta_peposaca",0.8,0.2
"Netta_erythrophthalma",0.8,0.2
"Aythya_ferina",0.2,0.8
"Aythya_americana",0.8,0.2
"Aythya_valisineria",0.8,0.2
"Aythya_australis",0.8,0.2
"Aythya_innotata",0.01,0.99
"Aythya_baeri",0.01,0.99
"Aythya_nyroca",0.6,0.4
"Aythya_novaeseelandiae",0.8,0.2
"Aythya_collaris",0.8,0.2
"Aythya_fuligula",0.8,0.2
"Aythya_marila",0.8,0.2
"Aythya_affinis",0.8,0.2
"Rhodonessa_caryophyllacea",0.01,0.99
"Salvadorina_waigiuensis",0.2,0.8
"Tachyeres_patachonicus",0.8,0.2
"Tachyeres_leucocephalus",0.2,0.8
"Tachyeres_pteneres",0.8,0.2
"Tachyeres_brachypterus",0.8,0.2
"Lophonetta_specularioides",0.8,0.2
"Speculanas_specularis",0.6,0.4
"Amazonetta_brasiliensis",0.8,0.2
"Spatula_querquedula",0.8,0.2
"Spatula_hottentota",0.8,0.2
"Spatula_puna",0.8,0.2
"Spatula_versicolor",0.8,0.2
"Spatula_platalea",0.8,0.2
"Spatula_smithii",0.8,0.2
"Spatula_rhynchotis",0.8,0.2
"Spatula_clypeata",0.8,0.2
"Spatula_cyanoptera",0.8,0.2
"Spatula_discors",0.8,0.2
"Sibirionetta_formosa",0.8,0.2
"Mareca_falcata",0.6,0.4
"Mareca_strepera",0.8,0.2
"Mareca_penelope",0.8,0.2
"Mareca_americana",0.8,0.2
"Mareca_sibilatrix",0.8,0.2
"Anas_sparsa",0.8,0.2
"Anas_undulata",0.8,0.2
"Anas_melleri",0.1,0.9
"Anas_superciliosa",0.8,0.2
"Anas_luzonica",0.2,0.8
"Anas_zonorhyncha",0.8,0.2
"Anas_poecilorhyncha",0.8,0.2
"Anas_laysanensis",0.01,0.99
"Anas_platyrhynchos",0.8,0.2
"Anas_rubripes",0.8,0.2
"Anas_fulvigula",0.8,0.2
"Anas_wyvilliana",0.1,0.9
"Anas_albogularis",0.2,0.8
"Anas_gibberifrons",0.6,0.4
"Anas_gracilis",0.8,0.2
"Anas_castanea",0.8,0.2
"Anas_chlorotis",0.6,0.4
"Anas_aucklandica",0.2,0.8
"Anas_nesiotis",0.1,0.9
"Anas_bernieri",0.1,0.9
"Anas_capensis",0.8,0.2
"Anas_bahamensis",0.8,0.2
"Anas_erythrorhyncha",0.8,0.2
"Anas_acuta",0.8,0.2
"Anas_eatoni",0.2,0.8
"Anas_georgica",0.8,0.2
"Anas_crecca",0.8,0.2
"Anas_andium",0.8,0.2
"Anas_flavirostris",0.8,0.2
"Tachybaptus_ruficollis",0.8,0.2
"Tachybaptus_novaehollandiae",0.8,0.2
"Tachybaptus_pelzelnii",0.1,0.9
"Tachybaptus_dominicus",0.8,0.2
"Podilymbus_podiceps",0.8,0.2
"Rollandia_rolland",0.8,0.2
"Rollandia_microptera",0.1,0.9
"Poliocephalus_poliocephalus",0.8,0.2
"Poliocephalus_rufopectus",0.6,0.4
"Podiceps_major",0.8,0.2
"Podiceps_grisegena",0.8,0.2
"Podiceps_cristatus",0.8,0.2
"Podiceps_auritus",0.2,0.8
"Podiceps_nigricollis",0.8,0.2
"Podiceps_juninensis",0.6,0.4
"Podiceps_occipitalis",0.8,0.2
"Podiceps_taczanowskii",0.01,0.99
"Podiceps_gallardoi",0.01,0.99
"Aechmophorus_occidentalis",0.8,0.2
"Aechmophorus_clarkii",0.8,0.2
"Phoenicopterus_roseus",0.8,0.2
"Phoenicopterus_ruber",0.8,0.2
"Phoenicopterus_chilensis",0.6,0.4
"Phoeniconaias_minor",0.6,0.4
"Phoenicoparrus_andinus",0.2,0.8
"Phoenicoparrus_jamesi",0.6,0.4
"Phaethon_aethereus",0.8,0.2
"Phaethon_rubricauda",0.8,0.2
