CatalogNumber,FullName,CommonName,Continent,Country,ProvinceStateTerritory,SeaGulf,CollectionDate,Kingdom,Phylum,Class,Order,Family,Genus,Species,Subspecies,SampleType,PreparedDate,Preservation,StorageTemperature,AccessionNumber,image
CA000000712,Equus asinus,Donkey,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,asinus,,Cell Culture,2018-07-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000713,Equus asinus,Donkey,,,,,,Animalia,Chordata,Mammalia,Perissodactyla,Equidae,Equus,asinus,,Cell Culture,2018-07-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000714,Hoolock leuconedys,Eastern hoolock gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hoolock,leuconedys,,Cell Culture,2004-05-25,,Liquid Nitrogen,2021_11_08_MFS,
CA000000715,Gallus gallus,Chicken,,,,,,Animalia,Chordata,Aves,Galliformes,Phasianidae,Gallus,gallus,,Cell Culture,2007-06-11,,Liquid Nitrogen,2021_11_08_MFS,
CA000000716,Nyctereutes procyonoides procyonoides,,,,,,,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,procyonoides,procyonoides,Cell Culture,2007-08-21,,Liquid Nitrogen,2021_11_08_MFS,
CA000000717,Hoolock leuconedys,Eastern hoolock gibbon,,,,,,Animalia,Chordata,Mammalia,Primates,Hylobatidae,Hoolock,leuconedys,,Cell Culture,2004-05-25,,Liquid Nitrogen,2021_11_08_MFS,
CA000000718,Tachyglossus aculeatus,Short-beaked echidna,,,,,,Animalia,Chordata,Mammalia,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,,Cell Culture,2007-08-22,,Liquid Nitrogen,2021_11_08_MFS,
CA000000719,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-12-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000720,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-12-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000721,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-12-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000722,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-12-28,,Liquid Nitrogen,2021_11_08_MFS,
CA000000723,Pongo pygmaeus abelii,,,,,,,Animalia,Chordata,Mammalia,Primates,Hominidae,Pongo,pygmaeus,abelii,Cell Culture,2017-11-14,,Liquid Nitrogen,2021_11_08_MFS,
