"Common..Name","Species","IUCN..Bird..Red..List.2013","ADEPD.score","EDGE..score","Required.Expenditure..US..","Recent.Expenditure..US.."
"Fiji  Petrel","Pseudobulweria_macgillivrayi","CR",2.86806,4.86407,2540000,334000
"African  Green  Broadbill","Pseudocalyptomena_graueri","VU",1.03286,4.53705,59900000,1740000
"Maui  Parrotbill","Pseudonestor_xanthophrys","CR",2.2094,4.43584,22000000,16400000
"Magenta  Petrel","Pterodroma_magentae","CR",1.86609,4.7048,4230000,531000
"Galapagos  Petrel","Pterodroma_phaeopygia","CR",1.37065,4.63103,2810000,202000
"Falcated  Wren-­‐babbler","Ptilocichla_falcata","VU",0.06477,2.85344,13800000,1500000
"Townsend's  Shearwater","Puffinus_auricularis","CR",2.50796,4.82297,7730000,679000
"Balearic  Shearwater","Puffinus_mauretanicus","CR",2.02416,4.84906,6070000,735000
"El  Oro  Parakeet","Pyrrhura_orcesi","EN",0.62048,3.19681,2230000,2180000
"Santa  Marta  Parakeet","Pyrrhura_viridicata","EN",0.75098,3.25066,203000,36000
"Jerdon's  Courser","Rhinoptilus_bitorquatus","CR",3.21989,5.32652,11800000,436000
"Thick-­‐billed  Parrot","Rhynchopsitta_pachyrhyncha","EN",3.04346,4.0526,1080000,23000
"Maroon-­‐fronted  Parrot","Rhynchopsitta_terrisi","EN",3.04346,4.0526,8180000,663000
"Gough  Bunting","Rowettia_goughensis","CR",2.06562,4.58893,6890000,159000
"Schouteden's  Swift","Schoutedenapus_myoptilus","VU",0.17595,3.65988,34600000,3030000
"Juan  Fernandez  Firecrown","Sephanoides_fernandensis","CR",2.29092,5.13221,7140000,189000
"Rubeho  Akalat","Sheppardia_aurantiithorax","EN",0.98988,4.05999,5520000,221000
"Worthen's  Sparrow","Spizella_wortheni","EN",1.18321,3.83525,2150000,886000
"Botha's  Lark","Spizocorys_fringillaris","EN",1.24794,3.96391,71000,0
"Chinese  Crested  Tern","Thalasseus_bernsteini","CR",1.35688,4.50324,3010000,561000
"Kakapo","Strigops_habroptila","CR",23.5638,6.28029,9380000,6930000
"Blackish-­‐headed  Spinetail","Synallaxis_tithys","EN",0.56272,3.32433,17500000,8150000
"Craveri's  Murrelet","Synthliboramphus_craveri","VU",0.05085,3.28485,36500000,3250000
"Mount  Kupe  Bush-­‐shrike","Chlorophoneus_kupeensis","EN",2.047,4.3914,4550000,1430000
"Seychelles  Paradise-­‐flycatcher","Terpsiphone_corvina","CR",1.1359,4.29325,2570000,1190000
"Giant  Ibis","Thaumatibis_gigantea","CR",31.89691,6.82656,6740000,157000
"Niceforo's  Wren","Thryophilus_nicefori","CR",1.84019,4.63713,2180000,200000
"Sombre  Kingfisher","Todiramphus_funebris","VU",0.14558,3.15831,7100000,6750000
"Tuamotu  Kingfisher","Todiramphus_gambieri","CR",1.65795,4.54843,296000,444000
"Marquesan  Kingfisher","Todiramphus_godeffroyi","CR",1.62218,4.52531,575000,725000
"Pemba  Green-­‐pigeon","Treron_pembaensis","VU",0.20587,3.48995,4010000,76000
"Timor  Green-­‐pigeon","Treron_psittaceus","EN",1.52224,4.09818,1450000,628000
"Sao  Tome  Green-­‐pigeon","Treron_sanctithomae","VU",0.22339,3.51824,755000,755000
"Santa  Marta  Wren","Troglodytes_monticola","CR",1.54578,4.4932,859000,0
"Taita  Thrush","Turdus_helleri","CR",2.75116,4.76912,5860000,1820000
"Buff-­‐breasted  Buttonquail","Turnix_olivii","EN",2.71274,4.6099,566000,43000
"Sociable  Lapwing","Vanellus_gregarius","CR",3.92744,5.23294,1490000,644000
"South  Island  Wren","Xenicus_gilviventris","VU",1.28355,4.97076,2530000,248000
"Spotted  Ground-­‐thrush","Geokichla_guttata","EN",3.6457,4.58583,18000000,3230000
"Mauritius  Olive  White-­‐eye","Zosterops_chloronothos","CR",0.60779,3.60925,2580000,642000
"Sangihe  White-­‐eye","Zosterops_nehrkorni","CR",0.5516,3.5993,1260000,815000
"Rota  Bridled  White-­‐eye","Zosterops_rotensis","CR",0.60189,3.67204,25800000,15700000
"Ranongga  White-­‐eye","Zosterops_splendidus","VU",0.02898,2.10127,968000,0
